root          48  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/5:0H-events_highpri]
root          49  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/6]
root          50  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/6]
root          51  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/6]
root          52  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/6]
root          54  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/6:0H-kblockd]
root          55  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/7]
root          56  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/7]
root          57  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/7]
root          58  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/7]
root          60  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/7:0H-events_highpri]
root          61  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/8]
root          62  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/8]
root          63  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/8]
root          64  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/8]
root          66  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/8:0H-kblockd]
root          67  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/9]
root          68  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/9]
root          69  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/9]
root          70  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/9]
root          72  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/9:0H-events_highpri]
root          73  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/10]
root          74  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/10]
root          75  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/10]
root          76  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/10]
root          78  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/10:0H-events_highpri]
root          79  0.0  0.0      0     0 ?        S    11:10   0:00 [cpuhp/11]
root          80  0.0  0.0      0     0 ?        S    11:10   0:00 [idle_inject/11]
root          81  0.0  0.0      0     0 ?        S    11:10   0:00 [migration/11]
root          82  0.0  0.0      0     0 ?        S    11:10   0:00 [ksoftirqd/11]
root          83  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/11:0-events]
root          84  0.0  0.0      0     0 ?        I<   11:10   0:00 [kworker/11:0H-events_highpri]
root          85  0.0  0.0      0     0 ?        S    11:10   0:00 [kdevtmpfs]
root          86  0.0  0.0      0     0 ?        I<   11:10   0:00 [inet_frag_wq]
root          87  0.0  0.0      0     0 ?        S    11:10   0:00 [kauditd]
root          88  0.0  0.0      0     0 ?        S    11:10   0:00 [khungtaskd]
root          89  0.0  0.0      0     0 ?        S    11:10   0:00 [oom_reaper]
root          90  0.0  0.0      0     0 ?        I<   11:10   0:00 [writeback]
root          91  0.0  0.0      0     0 ?        S    11:10   0:00 [kcompactd0]
root          92  0.0  0.0      0     0 ?        SN   11:10   0:00 [ksmd]
root          93  0.0  0.0      0     0 ?        SN   11:10   0:00 [khugepaged]
root          99  0.0  0.0      0     0 ?        I    11:10   0:00 [kworker/5:1-events]
root         140  0.0  0.0      0     0 ?        I<   11:10   0:00 [kintegrityd]
root         141  0.0  0.0      0     0 ?        I<   11:10   0:00 [kblockd]
root         142  0.0  0.0      0     0 ?        I<   11:10   0:00 [blkcg_punt_bio]
root         143  0.0  0.0      0     0 ?        I<   11:10   0:00 [tpm_dev_wq]
root         144  0.0  0.0      0     0 ?        I<   11:10   0:00 [ata_sff]
root         145  0.0  0.0      0     0 ?        I<   11:10   0:00 [md]
